"Ticks","placeholder","Changers","Stayers"
265,,969266.1942958898,796486.2995280679
266,,940000,806786.0984645594
267,,951342.6666666666,815776.731549484
268,,940000,811688.2769597016
269,,956251.5555555555,816106.4215139727
270,,940000,820118.1180515173
271,,940000,822610.2616156611
272,,947415.5555555555,825860.7800816525
273,,946312.7684444445,830062.7938023434
274,,940000,836770.8509457752
275,,940000,827322.4174007606
276,,940000,829248.9093197059
277,,944470.2222222222,840740.9237718348
278,,940000,844880.1359054226
279,,948397.3333333334,852962.5363903001
280,,957018.0733333335,858868.154294632
281,,956789.1973497778,861103.4146519244
282,,940000,862608.0178720322
283,,940000,870618.3077250991
284,,940000,871267.0897903095
285,,940000,864823.4477991967
286,,953306.2222222222,871426.7913842765
287,,956773.2137777781,879673.7864901655
288,,940000,882470.5265888827
289,,940000,881009.5317687469
290,,940000,888012.2019491063
291,,948397.3333333334,881919.0614884961
292,,940000,879293.6800715951
293,,952324.4444444445,881778.8233528229
294,,940000,884409.6800984205
295,,940000,884670.3908313342
296,,940000,889885.043247881
297,,940000,895718.336557
298,,940000,891785.927057657
299,,940000,896999.4279191187
300,,954288,893105.569340574
301,,940000,898053.3030894801
302,,940000,899856.1739794239
303,,949379.1111111111,903074.1526007995
304,,949312.0995555556,903205.6467588618
305,,940000,907951.0083206809
306,,946433.7777777778,916481.8662740227
307,,940000,925288.2628004428
308,,943488.4444444445,915403.063132298
309,,940000,923367.5503764492
310,,947415.5555555555,929338.6587181424
311,,954522.6031111114,935354.2375688439
312,,940000,943354.075910951
313,,943488.4444444445,939098.52253034
314,,948012.6435555554,929152.353471077
315,,940000,923466.6367670416
316,,940000,926806.9511830983
317,,951342.6666666666,927435.4803844545
318,,960045.688,926531.9573380689
319,,964759.9774831111,920170.5368887029
320,,961514.5038959635,920168.5858365571
321,,957355.3448161895,928302.7961590358
322,,949562.6051929898,923071.1257197208
323,,940000,926226.7261141307
324,,940000,926095.4163670638
325,,946433.7777777778,929212.9759259085
326,,946742.2022222222,929596.8989617064
